qid,split,source_paper_id,source_paper_title,source_task_index,source_task_category,proxy_dataset,rewrite_type
79,eval,75,Reservoir Computing for Short High-Dimensional Time Series an Application to SARS-CoV-2 Hospitalization Forecast.,2,Feature Engineering,MIMIC-IV-demo-MEDS,preprocessing_feature_engineering
65,eval,76,Exploiting Negative Samples A Catalyst for Cohort Discovery in Healthcare Analytics.,3,Model Evaluation,MIMIC-IV-demo-MEDS,temporal_statistics
60,eval,77,ED-Copilot Reduce Emergency Department Wait Time with Language Model Diagnostic Assistance.,1,Cohort Definition,MIMIC-IV-demo-MEDS,cohort_query
80,eval,78,ProtoGate Prototype-based Neural Networks with Global-to-local Feature Selection for Tabular Biomedical Data.,2,Feature Engineering,MIMIC-IV-demo-MEDS,preprocessing_feature_engineering
101,train,79,A Label Attention Model for ICD Coding from Clinical Text,1,Cohort Definition,TJH,cohort_query
103,train,80,The Graph based Mutual Attentive Network for Automatic Diagnosis,1,Feature Engineering,TJH,preprocessing_feature_engineering
66,eval,81,Automatic Emergency Diagnosis with Knowledge Based Tree Decoding,1,Model Evaluation,MIMIC-IV-demo-MEDS,temporal_statistics
108,train,82,Learning Latent Forests for Medical Relation Extraction,5,Feature Engineering,MIMIC-IV-demo-MEDS,preprocessing_feature_engineering
106,train,83,Generalized Zero Shot Text Classification for ICD Coding,1,Cohort Definition,MIMIC-IV-demo-MEDS,cohort_query
36,eval,84,Cooperative Joint Attentive Network for Patient Outcome Prediction on Irregular Multi Rate Multivari,1,Feature Engineering,TJH,artifact_generation
37,eval,85,AMA GCN Adaptive Multi layer Aggregation Graph Convolutional Network for Disease Prediction,1,Feature Engineering,TJH,artifact_generation
67,eval,87,Collaborative Graph Learning with Auxiliary Text for Temporal Event Prediction in Healthcare,1,Cohort Definition,MIMIC-IV-demo-MEDS,temporal_statistics
68,eval,88,Multi series Time aware Sequence Partitioning for Disease Progression Modeling,1,Cohort Definition,MIMIC-IV-demo-MEDS,temporal_statistics
38,eval,89,A Novel Sequence to Subgraph Framework for Diagnosis Classification,1,Feature Engineering,TJH,artifact_generation
39,eval,91,Cumulative Stay time Representation for Electronic Health Records in Medical Event Time Prediction,1,Feature Engineering,TJH,artifact_generation
40,eval,92,My nose is running Are you also coughing Building A Medical Diagnosis Agent with Interpretabl,1,Feature Engineering,TJH,artifact_generation
81,eval,93,Chronic Disease Management with Personalized Lab Test Response Prediction,4,Model Evaluation,MIMIC-IV-demo-MEDS,artifact_generation
82,eval,95,Data Efficient Algorithms and Neural Natural Language Processing Applications in the Healthcare Dom,3,Feature Engineering,MIMIC-IV-demo-MEDS,artifact_generation
69,eval,96,Hierarchical Apprenticeship Learning for Disease Progression Modeling,1,Cohort Definition,MIMIC-IV-demo-MEDS,temporal_statistics
83,eval,97,A Diffusion Model with Contrastive Learning for ICU False Arrhythmia Alarm Reduction,3,Feature Engineering,MIMIC-IV-demo-MEDS,artifact_generation
70,eval,98,VecoCare Visit Sequences Clinical Notes Joint Learning for Diagnosis Prediction in Healthcare Data,4,Model Evaluation,MIMIC-IV-demo-MEDS,temporal_statistics
102,train,100,Predictive Modeling with Temporal Graphical Representation on Electronic Health Records,1,Cohort Definition,TJH,temporal_statistics
84,eval,101,Multi TA Multilevel Temporal Augmentation for Robust Septic Shock Early Prediction,1,Feature Engineering,MIMIC-IV-demo-MEDS,artifact_generation
85,eval,102,MediTab Scaling Medical Tabular Data Predictors via Data Consolidation Enrichment and Refinement,2,Model Evaluation,MIMIC-IV-demo-MEDS,artifact_generation
86,eval,106,Hierarchical Attention Propagation for Healthcare,5,Feature Engineering,MIMIC-IV-demo-MEDS,artifact_generation
107,train,107,INPREM AnInterpretable and Trustworthy Predictive Model for,1,Model Implementation (Loss Function),MIMIC-IV-demo-MEDS,temporal_statistics
87,eval,108,DETERRENT Knowledge Guided Graph Attention Network for Detecting Healthcare Misinformation,4,Model Evaluation,MIMIC-IV-demo-MEDS,artifact_generation
88,eval,109,HiTANet-Hierarchical-Time-Aware-Attention-Networks-for-Risk-Prediction-on-Electronic-Health-Records,1,Cohort Definition,MIMIC-IV-demo-MEDS,artifact_generation
89,eval,110,Identifying Sepsis Subphenotypes via Time-Aware Multi-Modal,5,Feature Engineering,MIMIC-IV-demo-MEDS,artifact_generation
90,eval,111,HOLMES Health OnLine Model Ensemble Serving for,1,Cohort Definition,MIMIC-IV-demo-MEDS,artifact_generation
41,eval,113,M3Care Learning with Missing Modalities in Multimodal,1,Model Implementation,TJH,fixed_spec_modeling
104,train,115,Granger Causal Chain Discovery for Sepsis-Associated,1,Feature Engineering,TJH,artifact_generation
109,train,116,MedLink De-Identified Patient Health Record Linkage,1,Cohort Definition,MIMIC-IV-demo-MEDS,artifact_generation
42,eval,117,Warpformer A Multi-scale Modeling Approach for Irregular,1,Cohort Definition,TJH,fixed_spec_modeling
43,eval,119,FlexCare Leveraging Cross-Task Synergy for Flexible Multimodal Healthcare Prediction,1,Data Preprocessing and Cohort Definition,TJH,fixed_spec_modeling
44,eval,120,ProtoMix Augmenting Health Status Representation Learning via Prototype-based Mixup,3,Cohort Definition,TJH,fixed_spec_modeling
45,eval,121,Synthesizing Multimodal Electronic Health Records via Predictive Diffusion Models,1,Feature Engineering,TJH,fixed_spec_modeling
46,eval,124,Learning to Select Best Forecast Tasks for Clinical Outcome Prediction,1,Model Evaluation,TJH,fixed_spec_modeling
47,eval,125,Medical Dead-ends and Learning to Identify High-Risk States and Treatments,1,Cohort Definition,TJH,fixed_spec_modeling
48,eval,126,Auto-Encoding Knowledge Graph for Unsupervised Medical Report Generation,4,Model Evaluation,TJH,fixed_spec_modeling
49,eval,127,Closing the loop in medical decision support by understanding clinical decision-,3,Data Analysis,TJH,fixed_spec_modeling
50,eval,133,Contrast Everything A Hierarchical Contrastive Framework for Medical Time-Serie,1,Feature Engineering,TJH,fixed_spec_modeling
91,eval,134,Temporal Causal Mediation through a Point Process Direct and Indirect Effects o,1,Data Analysis,MIMIC-IV-demo-MEDS,fixed_spec_modeling
92,eval,135,Towards Semi-Structured Automatic ICD Coding via Tree-based Contrastive Learning,4,Data Preprocessing,MIMIC-IV-demo-MEDS,fixed_spec_modeling
93,eval,137,Medformer A Multi-Granularity Patching Transformer for Medical Time-Series Clas,1,Cohort Definition,MIMIC-IV-demo-MEDS,fixed_spec_modeling
94,eval,138,SMART Towards Pre-trained Missing-Aware Model for Patient Health Status Predict,4,Model Evaluation,MIMIC-IV-demo-MEDS,fixed_spec_modeling
95,eval,139,Knowledge-Empowered Dynamic Graph Network for Irregularly Sampled Medical Time S,1,Feature Engineering,MIMIC-IV-demo-MEDS,fixed_spec_modeling
96,eval,141,Trajectory Flow Matching with Applications to Clinical Time Series Modelling,4,Model Evaluation,MIMIC-IV-demo-MEDS,fixed_spec_modeling
97,eval,142,A teacher-teacher framework for clinical language representation learning,4,Model Evaluation,MIMIC-IV-demo-MEDS,fixed_spec_modeling
98,eval,144,Automated Multi-Task Learning for Joint Disease Prediction on Electronic Health,4,Model Evaluation,MIMIC-IV-demo-MEDS,fixed_spec_modeling
99,eval,146,Text-to-SQL Generation for Question Answering on Electronic Medical Records,1,Dataset Generation: Templated Questions,MIMIC-IV-demo-MEDS,fixed_spec_modeling
100,eval,147,StageNet Stage-Aware Neural Networks for Health Risk Prediction,4,Data Analysis,MIMIC-IV-demo-MEDS,fixed_spec_modeling
105,train,148,CLARA Clinical Report Auto-completion,2,Cohort Definition,TJH,fixed_spec_modeling
110,train,150,Learning Contextualized Document Representations for Healthcare Answer Retrieval,3,Data Preprocessing,MIMIC-IV-demo-MEDS,fixed_spec_modeling
