paper_id,paper_title,task_index,category,task,answer,proxy_eligibility,constraint_codes
134,Temporal Causal Mediation through a Point Process Direct and Indirect Effects o,5,Causal Inference,"Your task is to quantify the direct and indirect effects of a surgical intervention on two clinical metrics related to blood glucose levels. You are given simulated values for these metrics under three counterfactual scenarios.

      The **Natural Indirect Effect (NIE)** quantifies the effect of the intervention that is transmitted through a mediator (e.g., diet). It is defined as the difference in outcome when the mediator is set to its post-intervention state versus its pre-intervention state, while all other pathways are held at their pre-intervention state.
      \[ \text{NIE} = \text{Outcome}(\text{direct}=\text{pre-op}, \text{mediator}=\text{post-op}) - \text{Outcome}(\text{direct}=\text{pre-op}, \text{mediator}=\text{pre-op}) \]

      The **Natural Direct Effect (NDE)** quantifies the effect of the intervention through all pathways *other* than the mediator. It is defined as the difference in outcome when the direct pathways are activated, while the mediator is held fixed at its post-intervention state.
      \[ \text{NDE} = \text{Outcome}(\text{direct}=\text{post-op}, \text{mediator}=\text{post-op}) - \text{Outcome}(\text{direct}=\text{pre-op}, \text{mediator}=\text{post-op}) \]

      You will calculate these effects for two metrics:
      1.  \(\%T_{\text{HG}}\): The percentage of time spent in a hypoglycemic state (glucose \(\le 3.9\) mmol/L).
      2.  \(\%T_{\text{ANG}}\): The percentage of time spent in an above-normal-glycemic state (glucose \(\ge 5.6\) mmol/L).

      The simulated metric values under the three scenarios are:
      -   **Scenario 1 (Pre-Op Baseline):** `direct=pre-op`, `mediator=pre-op`
          -   \(\%T_{\text{HG}} = 2.5\%\)
          -   \(\%T_{\text{ANG}} = 30.0\%\)
      -   **Scenario 2 (Hypothetical - Diet Change Only):** `direct=pre-op`, `mediator=post-op`
          -   \(\%T_{\text{HG}} = 2.2\%\)
          -   \(\%T_{\text{ANG}} = 28.5\%\)
      -   **Scenario 3 (Full Post-Op):** `direct=post-op`, `mediator=post-op`
          -   \(\%T_{\text{HG}} = 26.9\%\)
          -   \(\%T_{\text{ANG}} = 2.1\%\)

      Calculate the NDE and NIE for both \(\%T_{\text{HG}}\) and \(\%T_{\text{ANG}}\).","The calculated causal effects are:
      -   For \(\%T_{\text{HG}}\) (percentage time in hypoglycemia):
          -   **NIE:** \(2.2\% - 2.5\% = -0.3\%\)
          -   **NDE:** \(26.9\% - 2.2\% = +24.7\%\)
      -   For \(\%T_{\text{ANG}}\) (percentage time in above-normal-glycemia):
          -   **NIE:** \(28.5\% - 30.0\% = -1.5\%\)
          -   **NDE:** \(2.1\% - 28.5\% = -26.4\%\)

      **Interpretation:** The results show that the change in diet alone (NIE) has a very small effect on both glycemic metrics. In contrast, the direct effect of the surgery (NDE), representing metabolic changes independent of diet, is overwhelmingly responsible for both the large increase in time spent in hypoglycemia and the dramatic decrease in time spent with high blood sugar. This suggests the surgery's primary benefit for glucose control comes from mechanisms beyond just enforcing a new diet.",proxy_candidate,
135,Towards Semi-Structured Automatic ICD Coding via Tree-based Contrastive Learning,1,Feature Engineering,"Implement an algorithm to score and extract candidate section titles from a corpus of clinical documents. The algorithm is called Document Frequency-Inverse Average Phrase Frequency (DF-IAPF). It is designed to identify phrases (n-grams) that appear in a high proportion of documents but occur infrequently within any single document.

Given a corpus of `\(n_d\)` documents and a candidate phrase `\(t\)`, the DF-IAPF score is calculated as follows:

1.  First, define the Document Frequency `\(\mathrm{DF}(t)\)` and the Inverse Average Phrase Frequency `\(\mathrm{IAPF}(t)\)`.
    *   `\(\mathrm{DF}(t)\)` is the ratio of documents containing the phrase `\(t\)` to the total number of documents.
    *   `\(\mathrm{IAPF}(t)\)` is the inverse of the average number of times `\(t\)` appears in the documents that contain it.
    The formulas are:
    \[ \mathrm{DF}(t) = \frac{n_t}{n_d} \]
    \[ \mathrm{IAPF}(t) = \frac{1}{\frac{1}{n_t}\sum_{i=1}^{n_d}f_{t,i}} = \frac{n_t}{\sum_{i=1}^{n_d}f_{t,i}} \]
    where `\(n_t\)` is the number of documents containing `\(t\)` and `\(f_{t,i}\)` is the number of times `\(t\)` occurs in document `\(i\)`.

2.  The DF-IAPF score is the product of these two values:
    \[ \mathrm{DF-IAPF}(t) = \mathrm{DF}(t) \times \mathrm{IAPF}(t) = \frac{n_t^2}{n_d\sum_{i=1}^{n_d}f_{t,i}} \]

3.  Your implementation should:
    a. Iterate through all n-grams in the corpus up to a maximum length `\(\mathcal{N}\)`.
    b. For each n-gram, calculate its DF-IAPF score.
    c. Rank the n-grams by their score in descending order.
    d. From the top-ranked phrases, filter out any phrase that is a subsequence of another, higher-scoring phrase.

After implementing this algorithm and using it to extract the top 20 section titles from a corpus, you must evaluate its coverage. The evaluation is performed by comparing the extracted set of titles `\(\hat{\Omega}\)` against manually curated title sets `\(\Omega_i\)` from 50 randomly selected documents. Your task is to report the average intersection rate, defined as: `\(\frac{1}{50} \sum_{i=1}^{50} \frac{|\hat{\Omega} \cap \Omega_i|}{|\Omega_i|}\)`.","The average intersection rate for the top-20 titles extracted by the DF-IAPF algorithm is `\(0.87\)`. This result indicates a high degree of coverage, demonstrating that the automated algorithm effectively identifies the most common and relevant section titles present in the clinical notes, closely matching human-curated ground truth.",proxy_candidate,inaccessible_data|weak_comparability
135,Towards Semi-Structured Automatic ICD Coding via Tree-based Contrastive Learning,2,Model Implementation,"Implement a function to calculate a soft similarity score `\(\alpha_{ij}\)` between two sets of labels, `\(\mathcal{L}_i\)` and `\(\mathcal{L}_j\)`, based on their relationship within a given hierarchical tree structure `\(\mathcal{H}\)`.

The calculation proceeds as follows:

1.  **Define Spanning Super-Tree:** For a given label set `\(\mathcal{L}_k\)` and a hierarchy `\(\mathcal{H}\)`, the spanning super-tree `\(\mathcal{T}_k\)` is the minimum subtree of `\(\mathcal{H}\)` that contains all label nodes in `\(\mathcal{L}_k\)` and all of their ancestors, sharing the same root as `\(\mathcal{H}\)`. Formally, `\(\mathcal{T}_k = \bigcup_{l \in \mathcal{L}_k} \rho(l) \cup \mathcal{L}_k\)` where `\(\rho(l)\)` denotes all ancestors of node `\(l\)`.

2.  **Define Similarity Metric:** The similarity `\(\alpha_{ij}\)` between the label sets `\(\mathcal{L}_i\)` and `\(\mathcal{L}_j\)` is calculated using their corresponding spanning super-trees `\(\mathcal{T}_i\)` and `\(\mathcal{T}_j\)`:
    \[ \alpha_{ij} = 1 - \frac{2 \times \mathsf{dist}(\mathcal{T}_i, \mathcal{T}_j)}{|\mathcal{T}_i \cup \mathcal{T}_j| - 1} \]
    where `\(\mathsf{dist}(\mathcal{T}_i, \mathcal{T}_j)\)` is the tree edit distance (the minimum number of node add, delete, and replace operations to transform `\(\mathcal{T}_i\)` into `\(\mathcal{T}_j\)`) and `\(|\mathcal{T}_i \cup \mathcal{T}_j|\)` is the number of unique nodes in the union of the two trees.

Your task is to calculate `\(\alpha_{12}\)` for the following specific case:
*   **Hierarchy `\(\mathcal{H}\)`:** A tree with root node 1.
    *   Node 1 is parent to nodes 2 and 3.
    *   Node 2 is parent to nodes 4 and 5.
    *   Node 3 is parent to nodes 6 and 7.
*   **Label Set 1:** `\(\mathcal{L}_1 = \{5, 7\}\)`
*   **Label Set 2:** `\(\mathcal{L}_2 = \{2, 6\}\)`
*   **Given:** The tree edit distance `\(\mathsf{dist}(\mathcal{T}_1, \mathcal{T}_2)\)` for the resulting spanning super-trees is `\(2\)`.","The calculated similarity score is `\(\alpha_{12} = 0.2\)`.
*   The spanning super-tree for `\(\mathcal{L}_1\)` is `\(\mathcal{T}_1 = \{1, 2, 3, 5, 7\}\)`.
*   The spanning super-tree for `\(\mathcal{L}_2\)` is `\(\mathcal{T}_2 = \{1, 2, 3, 6\}\)`.
*   The union of nodes is `\(\mathcal{T}_1 \cup \mathcal{T}_2 = \{1, 2, 3, 5, 6, 7\}\)`, so `\(|\mathcal{T}_1 \cup \mathcal{T}_2| = 6\)`.
*   Plugging into the formula: `\(\alpha_{12} = 1 - \frac{2 \times 2}{6 - 1} = 1 - \frac{4}{5} = 0.2\)`.
This non-zero similarity score demonstrates the metric's ability to capture underlying structural relationships between label sets, even when they have no labels in common.",reject,implementation_only
135,Towards Semi-Structured Automatic ICD Coding via Tree-based Contrastive Learning,3,Model Implementation,"Implement a contrastive loss function `\(\mathcal{I}\)` designed to train a clinical note encoder. The loss is calculated for a quadruple of section embeddings `\((\mathbf{s}_k^i, \mathbf{s}_{k'}^i, \mathbf{s}_k^j, \mathbf{s}_{k'}^j)\)`, where `\(i\)` and `\(j\)` index two different clinical notes, and `\(k\)` and `\(k'\)` index two different section types.

The pairs are defined as:
*   `\((\mathbf{s}_k^i, \mathbf{s}_{k'}^i)\)`: A ""positive pair"" from the same clinical note `\(i\)`.
*   `\((\mathbf{s}_k^j, \mathbf{s}_{k'}^j)\)`: A ""positive pair"" from the same clinical note `\(j\)`.
*   `\((\mathbf{s}_k^i, \mathbf{s}_k^j)\)`: A ""neighbor pair"" of the same section type `\(k\)` from different notes.
*   `\((\mathbf{s}_{k'}^i, \mathbf{s}_{k'}^j)\)`: A ""neighbor pair"" of the same section type `\(k'\)` from different notes.

The total loss `\(\mathcal{I}\)` is the sum of four Mean Absolute Error (MAE) terms:
\[ \mathcal{I} = \mathcal{I}_m(1, \beta(\mathbf{s}_k^i, \mathbf{s}_{k'}^i)) + \mathcal{I}_m(\alpha_{ij}, \beta(\mathbf{s}_k^i, \mathbf{s}_k^j)) + \mathcal{I}_m(1, \beta(\mathbf{s}_k^j, \mathbf{s}_{k'}^j)) + \mathcal{I}_m(\alpha_{ij}, \beta(\mathbf{s}_{k'}^i, \mathbf{s}_{k'}^j)) \]
where:
*   `\(\mathcal{I}_m(y, \hat{y}) = |y - \hat{y}|\)` is the MAE loss.
*   `\(\beta(\cdot, \cdot)\)` is the cosine similarity function between two vectors.
*   `\(\alpha_{ij}\)` is a pre-computed soft similarity score between the label sets of note `\(i\)` and note `\(j\)`.

Your task is to calculate the total loss `\(\mathcal{I}\)` given the following inputs:
*   Soft similarity score: `\(\alpha_{ij} = 0.2\)`
*   Cosine similarities (pre-computed):
    *   `\(\beta(\mathbf{s}_k^i, \mathbf{s}_{k'}^i) = 0.9\)`
    *   `\(\beta(\mathbf{s}_k^i, \mathbf{s}_k^j) = 0.3\)`
    *   `\(\beta(\mathbf{s}_k^j, \mathbf{s}_{k'}^j) = 0.85\)`
    *   `\(\beta(\mathbf{s}_{k'}^i, \mathbf{s}_{k'}^j) = 0.25\)`","The total calculated loss `\(\mathcal{I}\)` is `\(0.4\)`
The calculation is as follows:
*   Loss 1: `\(|1 - 0.9| = 0.1\)`
*   Loss 2: `\(|0.2 - 0.3| = 0.1\)`
*   Loss 3: `\(|1 - 0.85| = 0.15\)`
*   Loss 4: `\(|0.2 - 0.25| = 0.05\)`
*   Total Loss: `\(0.1 + 0.1 + 0.15 + 0.05 = 0.4\)`
This loss function encourages embeddings of sections from the same document to have high similarity (close to 1), while the similarity of sections from different documents is guided by the structural similarity of their associated labels (`\(\alpha_{ij}\)`).",reject,implementation_only|inaccessible_data|weak_comparability
135,Towards Semi-Structured Automatic ICD Coding via Tree-based Contrastive Learning,5,Model Evaluation,"You are tasked with evaluating the impact of a set of training strategies, collectively referred to as ""CM"" (which includes contrastive pre-training and masked section training), on a model's ability to predict rare medical codes.

*   **Model:** `MSMN`, an LSTM-based text encoder that incorporates code synonym information.
*   **Task:** MIMIC-rare-50 prediction. This is a multi-label classification task to predict 50 rare ICD codes, each occurring fewer than 10 times in the training data. The training set for this specific task is very small, containing only 249 clinical notes.
*   **Evaluation Metric:** Macro F1 score.

The baseline `MSMN` model, when trained without the CM strategies, achieves a certain performance level. Your task is to report the Macro F1 score (in `\(\%\)`) achieved by the `MSMN` model on the MIMIC-rare-50 test set when it **is** trained with the CM strategies. The baseline performance without CM was `\(23.7\%\)`.","The Macro F1 score for the `MSMN` model with the CM strategies on the MIMIC-rare-50 task is `\(31.2\%\)`. This represents a significant improvement of `\(7.5\)` percentage points over the baseline. This result demonstrates that the proposed training strategies are particularly effective as a form of data augmentation and regularization in low-data regimes, substantially boosting performance on challenging rare-class prediction tasks.",proxy_candidate,inaccessible_data|paper_metric_only|weak_comparability
137,Medformer A Multi-Granularity Patching Transformer for Medical Time-Series Clas,2,Model Implementation,"Implement a cross-channel multi-granularity patch embedding module. The module must accept a multivariate time series sample \(\pmb{x}_{\mathrm{in}}\in \mathbb{R}^{T\times C}\) and a list of \(n\) integer patch lengths \(\{L_1, L_2, \ldots, L_n\}\) as input.
      
      For each patch length \(L_i\) in the list, the module must perform the following operations:
      1.  Segment the input sample \(\pmb{x}_{\mathrm{in}}\) into \(N_i = \lceil T / L_i \rceil\) non-overlapping, cross-channel patches. If \(T\) is not perfectly divisible by \(L_i\), apply zero-padding to the end of the time dimension of \(\pmb{x}_{\mathrm{in}}\) before segmentation. Each resulting patch is a flattened vector from a segment of shape \((L_i \times C)\), yielding a patch tensor \(\pmb{x}_{\mathrm{p}}^{(i)} \in \mathbb{R}^{N_i \times (L_i \cdot C)}\).
      2.  Project the patch tensor into a latent space of dimension \(D\) using a unique linear projection layer for this granularity: \(\pmb{x}_{\mathrm{e}}^{(i)} = \pmb{x}_{\mathrm{p}}^{(i)}\pmb{W}^{(i)}\), where \(\pmb{W}^{(i)} \in \mathbb{R}^{(L_i \cdot C) \times D}\). This results in \(\pmb{x}_{\mathrm{e}}^{(i)} \in \mathbb{R}^{N_i \times D}\).
      3.  Apply a data augmentation function to the projected embeddings \(\pmb{x}_{\mathrm{e}}^{(i)}\) to produce augmented embeddings \(\widetilde{\pmb{x}}_{\mathrm{e}}^{(i)}\).
      4.  Construct the final embedding for granularity \(i\) by adding positional and granularity-specific embeddings:
          \[\pmb{x}^{(i)} = \widetilde{\pmb{x}}_{\mathrm{e}}^{(i)} + W_{\mathrm{pos}}[1:N_i] + W_{\mathrm{gr}}^{(i)}\]
          Here, \(W_{\mathrm{pos}} \in \mathbb{R}^{G \times D}\) is a fixed, pre-computed positional embedding matrix (where \(G\) is a sufficiently large integer), and \(W_{\mathrm{gr}}^{(i)} \in \mathbb{R}^{1 \times D}\) is a learnable embedding vector for granularity \(i\), which is broadcasted for addition across all \(N_i\) patches.
      5.  Initialize a corresponding ""router"" embedding for granularity \(i\), which will be used in a subsequent attention stage:
          \[\pmb{u}^{(i)} = W_{\mathrm{pos}}[N_i + 1] + W_{\mathrm{gr}}^{(i)}\]
          The router uses the \((N_i+1)\)-th position from \(W_{\mathrm{pos}}\) to encode information about the number of patches.
      
      The module should output two lists, each of length \(n\): a list of the final patch embeddings \(\{\boldsymbol{x}^{(1)}, \dots, \boldsymbol{x}^{(n)}\}\) and a list of the router embeddings \(\{\pmb{u}^{(1)}, \dots, \pmb{u}^{(n)}\}\).","This cross-channel multi-granularity patching mechanism is designed to capture features at different scales, simulating various frequency bands without requiring handcrafted filters. By creating patches across all channels simultaneously, it inherently captures inter-channel correlations, which is critical for analyzing integrated physiological systems like the brain (EEG) or heart (ECG).",reject,implementation_only
137,Medformer A Multi-Granularity Patching Transformer for Medical Time-Series Clas,3,Model Implementation,"Implement a two-stage multi-granularity self-attention block. This block takes as input a list of patch embeddings \(\{\pmb{x}^{(1)}, \dots, \pmb{x}^{(n)}\}\) and a corresponding list of router embeddings \(\{\pmb{u}^{(1)}, \dots, \pmb{u}^{(n)}\}\), where \(\pmb{x}^{(i)} \in \mathbb{R}^{N_i \times D}\) and \(\pmb{u}^{(i)} \in \mathbb{R}^{1 \times D}\) for \(n\) different granularities.
      
      The block operates in two sequential stages:
      1.  **Intra-Granularity Self-Attention:** For each granularity \(i\) from 1 to \(n\), perform self-attention within that granularity.
          a.  First, concatenate the patch embeddings and the router embedding for the current granularity along the sequence dimension: \(\pmb{z}^{(i)} = \left[\pmb{x}^{(i)}\| \pmb {u}^{(i)}\right]\), which results in a tensor of shape \(\mathbb{R}^{(N_i + 1) \times D}\).
          b.  Update the patch embeddings \(\pmb{x}^{(i)}\) by using them as the query and \(\pmb{z}^{(i)}\) as the key and value in a scaled dot-product attention mechanism: \(\pmb{x}^{(i)} \leftarrow \mathrm{Attn}(\pmb{x}^{(i)}, \pmb{z}^{(i)}, \pmb{z}^{(i)})\).
          c.  Concurrently, update the router embedding \(\pmb{u}^{(i)}\) by using it as the query and \(\pmb{z}^{(i)}\) as the key and value: \(\pmb{u}^{(i)} \leftarrow \mathrm{Attn}(\pmb{u}^{(i)}, \pmb{z}^{(i)}, \pmb{z}^{(i)})\).
      
      2.  **Inter-Granularity Self-Attention:** After all granularities have been processed internally, facilitate information exchange across them.
          a.  Concatenate all the updated router embeddings from the first stage into a single sequence: \(U = \left[\pmb{u}^{(1)}\| \pmb{u}^{(2)}\| \dots \| \pmb{u}^{(n)}\right]\), resulting in a tensor of shape \(\mathbb{R}^{n \times D}\).
          b.  For each granularity \(i\), perform a final update on its router \(\pmb{u}^{(i)}\) by having it attend to the sequence of all routers \(U\): \(\pmb{u}^{(i)} \leftarrow \mathrm{Attn}(\pmb{u}^{(i)}, U, U)\).
      
      Your implementation should return the updated lists of patch and router embeddings. Also, state the overall time complexity of this two-stage mechanism.","The time complexity of this two-stage attention mechanism is \(O\left(\sum_{i = 1}^{n}N_{i}^{2} + n^{2}\right)\). This router-based design is computationally efficient compared to a naive approach of concatenating all patches from all granularities, which would have a complexity of \(O\left(\left(\sum_{i = 1}^{n}N_{i}\right)^{2}\right)\), thus making the multi-scale analysis practical.",reject,implementation_only
137,Medformer A Multi-Granularity Patching Transformer for Medical Time-Series Clas,4,Model Evaluation,"You are to implement an evaluation script to reproduce the performance of a specific medical time-series transformer model on the PTB-XL dataset under a subject-independent setup. The dataset has 5 classes.
      
      The model architecture and training configuration are as follows:
      - **Architecture:** A 6-layer encoder with an embedding dimension \(D=128\) and a feed-forward network hidden dimension of 256.
      - **Patching:** A cross-channel multi-granularity mechanism with the specific patch length list: \(\{2,4,8,8,16,16,16,16,32,32,32,32,32,32,32,32\}\).
      - **Augmentation:** During training, apply a combination of augmentations randomly chosen from a list containing jitter with a scale of 0.2, scaling with a factor of 0.2, and dropout with a rate of 0.5.
      - **Training:** Use the Adam optimizer with a learning rate of \(1e-4\). The batch size is 128. Train for a maximum of 100 epochs, with an early stopping mechanism that terminates training if the validation F1 score does not improve for 10 consecutive epochs.
      - **Evaluation:** The model with the best validation F1 score is saved and evaluated on the test set.
      
      Your task is to report the expected macro-averaged F1 score and AUPRC (Area Under the Precision-Recall Curve) on the test set, including the mean and standard deviation from 5 runs with different random seeds.","The expected macro-averaged F1 score is \(62.02 \pm 0.37\%\) and the AUPRC is \(66.39 \pm 0.22\%\). This result demonstrates the model's effectiveness on a complex, multi-class ECG classification task in a challenging subject-independent setting, outperforming numerous baseline transformer models.",proxy_candidate,paper_metric_only
137,Medformer A Multi-Granularity Patching Transformer for Medical Time-Series Clas,5,Model Analysis,"You are to perform an ablation study to quantify the importance of two specific mechanisms—inter-granularity attention and embedding augmentation—on the APAVA dataset (2 classes) in a subject-independent setting. You will need to define three model configurations based on a full model and evaluate their performance.
      
      The full model (""Medformer"") uses cross-channel multi-granularity patching, embedding augmentation, and a two-stage (intra- and inter-granularity) attention mechanism.
      
      You must define and evaluate the following variants:
      1.  **Full Model:** The complete Medformer architecture.
      2.  **Variant A (No Inter-Attention):** This variant is identical to the full model, but the ""Inter-Granularity Self-Attention"" stage is removed. Information is learned within each granularity's patches, but the routers do not communicate with each other.
      3.  **Variant B (No Augmentation):** This variant is identical to the full model, but no data augmentation is applied to the patch embeddings during the embedding stage.
      
      For all configurations, use the same base hyperparameters (e.g., 6 layers, \(D=128\), etc.) and the same patch length list. Report the expected macro-averaged F1 score (mean and standard deviation) for the Full Model, Variant A, and Variant B.","The expected macro-averaged F1 scores are:
      - **Full Model:** \(76.31 \pm 0.71\%\)
      - **Variant A (No Inter-Attention):** \(74.59 \pm 1.58\%\)
      - **Variant B (No Augmentation):** \(72.30 \pm 3.46\%\)
      
      The results show that removing either inter-granularity attention or embedding augmentation leads to a performance drop. The drop is more substantial when augmentation is removed (\(\approx 4\%\)), indicating that both components contribute positively to the model's final performance, with embedding augmentation playing a particularly significant role in this case.",proxy_candidate,paper_metric_only
138,SMART Towards Pre-trained Missing-Aware Model for Patient Health Status Predict,1,Model Implementation,"Implement the calculation for a temporal attention bias matrix designed to handle missing data in time series.

You are given a patient's observation mask tensor \(m \in \mathbb{R}^{T \times N}\), where \(T\) is the number of time steps (visits) and \(N\) is the number of variables. An element \(m_n^t=1\) if the \(n\)-th variable is observed at visit \(t\), and \(0\) otherwise.

Your task is to create a function that generates a bias tensor \(B \in \mathbb{R}^{(T+1) \times (T+1) \times N}\). The process is as follows:
1.  Create an augmented mask \(m' \in \{\text{True}, \text{False}\}^{(T+1) \times N}\) by prepending a vector of `True` values to the temporal dimension of the original mask \(m\). This corresponds to a prepended [CLS] token. So, for each variable \(n\), the new mask is \(m'_{n} = [\text{True}, m_{n}]\).
2.  For each variable \(n\), compute a bias matrix \(B_n \in \mathbb{R}^{(T+1) \times (T+1)}\). The value of the bias \(B_{n}^{i,j}\) between visit \(i\) and visit \(j\) is determined by the following rule:
    \[
    B_{n}^{i,j} = \left\{ \begin{array}{ll}2, & \text{if } m_{n}^{\prime i} = \text{True and } m_{n}^{\prime j} = \text{True} \\ 1, & \text{if } (m_{n}^{\prime i} \text{ and not } m_{n}^{\prime j}) \text{ or } (\text{not } m_{n}^{\prime i} \text{ and } m_{n}^{\prime j}) \\ 0, & \text{if } m_{n}^{\prime i} = \text{False and } m_{n}^{\prime j} = \text{False} \end{array} \right.
    \]
This bias matrix is intended to be added to the raw attention scores before softmax normalization to strengthen information from observed visits.","The ablation study showed that removing the temporal attention mechanism, which includes this specific bias calculation, significantly degrades performance. On the Sepsis dataset, removing temporal attention caused the AUPRC to drop from \(81.67\%\) to \(65.22\%\) and the F1 Score from \(75.37\%\) to \(58.47\%\). This highlights that strengthening attention between observed time points via this bias is crucial for handling sparse data.",reject,implementation_only|paper_metric_only
138,SMART Towards Pre-trained Missing-Aware Model for Patient Health Status Predict,2,Model Implementation,"Implement a global variable attention mechanism for time series data.

You are given a patient's hidden representation \(h_{temp} \in \mathbb{R}^{(T + 1) \times N \times d}\) (output from a temporal attention layer) and an augmented observation mask \(m' \in \{\text{True}, \text{False}\}^{(T + 1) \times N}\). The dimensions are: time steps \(T+1\), number of variables \(N\), and hidden dimension \(d\).

The mechanism is defined as follows:
1.  Compute the query \(Q_{var} \in \mathbb{R}^{N \times d}\) using a linear transformation of the representation at the first time step only (i.e., the CLS token representation): 
    \[ Q_{var} = \text{Linear}(h_{temp}^{0}) \]
2.  Compute the key \(K_{var} \in \mathbb{R}^{N \times d}\). First, for each variable, calculate the average representation across all *observed* time steps. An observed time step \(t\) for a variable \(n\) is where \(m^{\prime t}_n = \text{True}\). Then, apply a linear transformation to this averaged representation. The formula is: 
    \[ K_{var} = \text{Linear}\left( \frac{\sum_{t=0}^{T} h_{temp}^{t} \odot \mathbf{1}(m^{\prime t})}{\sum_{t=0}^{T} \mathbf{1}(m^{\prime t})} \right) \]
    where \(\mathbf{1}(\cdot)\) is an indicator function returning 1 for True and 0 for False, and \(\odot\) is element-wise multiplication broadcasted appropriately.
3.  Compute the value \(V_{var} \in \mathbb{R}^{(T+1) \times N \times d}\) using a linear transformation of the entire input representation: 
    \[ V_{var} = \text{Linear}(h_{temp}) \]
4.  Calculate the final attention output using the standard scaled dot-product attention formula. The attention weights are computed between the \(N\) variables and then applied to the value tensor.
    \[ \text{AttentionOutput} = \text{softmax}\left(\frac{Q_{var} K_{var}^{\top}}{\sqrt{d}}\right) V_{var} \]
    The softmax is applied over the key's variable dimension (the second dimension of \(K_{var}^{\top}\)). The resulting attention weights of shape \(\mathbb{R}^{N \times N}\) are broadcasted to multiply with \(V_{var}\).","Removing this specific variable attention mechanism leads to a notable performance drop. In the ablation study on the MIMIC-III in-hospital mortality task, removing variable attention decreased the AUPRC from \(53.30\%\) to \(50.98\%\) and the F1 Score from \(44.23\%\) to \(41.70\%\). This indicates that capturing global, time-invariant variable correlations using the CLS vector as the query is a key contributor to the model's success.",reject,implementation_only|inaccessible_data|paper_metric_only|weak_comparability
138,SMART Towards Pre-trained Missing-Aware Model for Patient Health Status Predict,3,Model Implementation,"Implement the self-supervised pre-training loss function for latent space reconstruction. The pre-training process involves a student network \(f\) and a teacher network \(\hat{f}\) (whose parameters are an exponential moving average of \(f\)'s).

The process is as follows:
1.  Start with original EHR data \((\mathbf{x}, \mathbf{m})\). Generate an augmented version \((\mathbf{x}^{*}, \mathbf{m}^{*})\) by randomly setting some of the observed values to 'missing'. Let \(\hat{m}\) be a binary mask where \(\hat{m}_{n}^{t} = \text{True}\) for positions that were observed in \(\mathbf{m}\) but are now artificially masked for reconstruction. The first time step, corresponding to a CLS vector, is never masked, so \(\hat{m}_{n}^{0} = \text{False}\) for all \(n\).
2.  The student network processes the augmented data \((\mathbf{x}^{*}, \mathbf{m}^{*})\) and, via an embedding decoder, produces a reconstructed latent representation \(\mathbf{s}_{pre-train}^{*} \in \mathbb{R}^{(T+1) \times N \times d}\).
3.  The teacher network processes the original, non-augmented data \((\mathbf{x}, \mathbf{m})\) to produce the target latent representation \(\hat{\mathbf{s}} \in \mathbb{R}^{(T+1) \times N \times d}\).

Your task is to implement the function to compute the pre-training loss \(\mathcal{L}_{pre-train}\). The loss is the sum of the L1 distances between the reconstructed and target representations, calculated *only* for the features that were artificially masked (where \(\hat{m}\) is True).

The formula is:
\[ \mathcal{L}_{pre-train} = \sum_{t,n,i} \hat{m}_{n}^{t} \cdot | (\mathbf{s}_{pre-train}^{*})_{n,i}^{t} - (\hat{\mathbf{s}})_{n,i}^{t} | \]
where the sum is over all elements of the tensors, and \(\hat{m}\) is broadcasted over the feature dimension \(d\).","The ablation study demonstrates the critical importance of this pre-training stage. When the model was trained from scratch without this self-supervised pre-training loss (the ""w/o Pre-training"" variant), its performance on the Cardiology dataset dropped from an AUPRC of \(53.84\%\) to \(52.26\%\) and an F1 Score from \(47.53\%\) to \(46.60\%\). This shows that learning to reconstruct latent representations of missing data significantly improves the model's final predictive power.",reject,implementation_only|paper_metric_only
